Index,file,Spectral Points,Tgas,Tref,Trot,Tvib,add_at_used,broadening_max_width,broadening_method,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,export_rovib_fraction,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,optimization,parfuncfmt,parsum_mode,path_length,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,rot_distribution,self_absorption,state,thermal_equilibrium,total_lines,vib_distribution,wG,wL,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding,1+wL*wG
10,20210807_Tvib300K_Trot300K_10.spec,830000,300,296,300,300,cython,300,voigt,2.04626059532166,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628349121.51946,radis,60000,0,0,0,1,1,CO,CO_2000_10000_60000_voigt,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.00030303001403808594, 'reinitialize': {'copy_database': 0.003969430923461914, 'memory_usage_warning': 0.0015668869018554688, 'reset_population': 3.361701965332031e-05, 'value': 0.005590200424194336}, 'scaled_eq_linestrength': 0.007652759552001953, 'calc_lineshift': 0.0008616447448730469, 'calc_hwhm': 0.03467679023742676, 'generate_wavenumber_arrays': 0.015053987503051758, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.043410301208496094, 'DLM_Initialized_vectors': 1.0013580322265625e-05, 'DLM_closest_matching_line': 0.004586458206176758, 'DLM_Distribute_lines': 0.02236771583557129, 'DLM_convolve': 1.873401165008545, 'value': 1.9466180801391602}, 'calc_other_spectral_quan': 0.03536701202392578, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,389355,boltzmann,6,5,0.01,0.01,10000,10150,2000,1850,cm-1,0.01,830001,
11,20210807_Tvib300K_Trot300K_11.spec,1030000,300,296,300,300,cython,300,voigt,2.77001190185547,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628349129.25548,radis,60000,0,0,0,1,1,CO,CO_2000_12000_60000_voigt,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.00031447410583496094, 'reinitialize': {'copy_database': 0.0033392906188964844, 'memory_usage_warning': 0.0016374588012695312, 'reset_population': 3.743171691894531e-05, 'value': 0.005035877227783203}, 'scaled_eq_linestrength': 0.006627321243286133, 'calc_lineshift': 0.0007810592651367188, 'calc_hwhm': 0.04101991653442383, 'generate_wavenumber_arrays': 0.021225690841674805, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.0459291934967041, 'DLM_Initialized_vectors': 1.1444091796875e-05, 'DLM_closest_matching_line': 0.006438493728637695, 'DLM_Distribute_lines': 0.02388739585876465, 'DLM_convolve': 2.5548019409179688, 'value': 2.6350550651550293}, 'calc_other_spectral_quan': 0.05982041358947754, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,471366,boltzmann,6,5,0.01,0.01,12000,12150,2000,1850,cm-1,0.01,1030001,
12,20210807_Tvib300K_Trot300K_12.spec,1230000,300,296,300,300,cython,300,voigt,3.42801427841187,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628349138.36351,radis,60000,0,0,0,1,1,CO,CO_2000_14000_60000_voigt,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0004096031188964844, 'reinitialize': {'copy_database': 0.0038993358612060547, 'memory_usage_warning': 0.0015745162963867188, 'reset_population': 3.1948089599609375e-05, 'value': 0.0055255889892578125}, 'scaled_eq_linestrength': 0.007116794586181641, 'calc_lineshift': 0.0007932186126708984, 'calc_hwhm': 0.04333138465881348, 'generate_wavenumber_arrays': 0.031478166580200195, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.06230473518371582, 'DLM_Initialized_vectors': 1.0251998901367188e-05, 'DLM_closest_matching_line': 0.006592512130737305, 'DLM_Distribute_lines': 0.0233004093170166, 'DLM_convolve': 3.190478563308716, 'value': 3.2864151000976562}, 'calc_other_spectral_quan': 0.05283021926879883, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,543823,boltzmann,6,5,0.01,0.01,14000,14150,2000,1850,cm-1,0.01,1230001,
13,20210807_Tvib300K_Trot300K_13.spec,1430000,300,296,300,300,cython,300,voigt,2.70365285873413,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628349147.07553,radis,60000,0,0,0,1,1,CO,CO_2000_16000_60000_voigt,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.00028324127197265625, 'reinitialize': {'copy_database': 0.003122568130493164, 'memory_usage_warning': 0.0015671253204345703, 'reset_population': 3.147125244140625e-05, 'value': 0.004739046096801758}, 'scaled_eq_linestrength': 0.006785154342651367, 'calc_lineshift': 0.0007681846618652344, 'calc_hwhm': 0.04043865203857422, 'generate_wavenumber_arrays': 0.029393672943115234, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.04448699951171875, 'DLM_Initialized_vectors': 9.5367431640625e-06, 'DLM_closest_matching_line': 0.006640434265136719, 'DLM_Distribute_lines': 0.02548813819885254, 'DLM_convolve': 2.4781618118286133, 'value': 2.5589394569396973}, 'calc_other_spectral_quan': 0.06220579147338867, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,597654,boltzmann,6,5,0.01,0.01,16000,16150,2000,1850,cm-1,0.01,1430001,
14,20210807_Tvib300K_Trot300K.spec,5000,300,296,300,300,cython,300,fft,0.043820142745972,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628343514.58791,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0002665519714355469, 'reinitialize': {'copy_database': 0.0005888938903808594, 'memory_usage_warning': 0.0011620521545410156, 'reset_population': 2.7418136596679688e-05, 'value': 0.0017924308776855469}, 'scaled_eq_linestrength': 0.005606174468994141, 'calc_lineshift': 0.0007379055023193359, 'calc_hwhm': 0.011583566665649414, 'generate_wavenumber_arrays': 0.0006556510925292969, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.008300065994262695, 'DLM_Initialized_vectors': 8.344650268554688e-06, 'DLM_closest_matching_line': 0.0009779930114746094, 'DLM_Distribute_lines': 0.00041031837463378906, 'DLM_convolve': 0.01237177848815918, 'value': 0.022249460220336914}, 'calc_other_spectral_quan': 0.0008418560028076172, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.08,5001,
15,20210807_Tvib300K_Trot300K_1.spec,5714.28571428571,300,296,300,300,cython,300,fft,0.055551290512085,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628343514.71591,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.00024008750915527344, 'reinitialize': {'copy_database': 0.0006470680236816406, 'memory_usage_warning': 0.001218557357788086, 'reset_population': 3.123283386230469e-05, 'value': 0.0019116401672363281}, 'scaled_eq_linestrength': 0.006163120269775391, 'calc_lineshift': 0.0007455348968505859, 'calc_hwhm': 0.011251449584960938, 'generate_wavenumber_arrays': 0.0005710124969482422, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.009125232696533203, 'DLM_Initialized_vectors': 8.821487426757812e-06, 'DLM_closest_matching_line': 0.0010859966278076172, 'DLM_Distribute_lines': 0.00045561790466308594, 'DLM_convolve': 0.022974252700805664, 'value': 0.0339045524597168}, 'calc_other_spectral_quan': 0.0006866455078125, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.07,5001,
16,20210807_Tvib300K_Trot300K_2.spec,6666.66666666667,300,296,300,300,cython,300,fft,0.053179502487183,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628343514.84391,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0002357959747314453, 'reinitialize': {'copy_database': 0.0004215240478515625, 'memory_usage_warning': 0.0012350082397460938, 'reset_population': 3.0517578125e-05, 'value': 0.0017004013061523438}, 'scaled_eq_linestrength': 0.006231069564819336, 'calc_lineshift': 0.0008943080902099609, 'calc_hwhm': 0.011817216873168945, 'generate_wavenumber_arrays': 0.0005700588226318359, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.00827932357788086, 'DLM_Initialized_vectors': 6.4373016357421875e-06, 'DLM_closest_matching_line': 0.0015902519226074219, 'DLM_Distribute_lines': 0.00046253204345703125, 'DLM_convolve': 0.02052021026611328, 'value': 0.031015396118164062}, 'calc_other_spectral_quan': 0.0006439685821533203, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.06,5001,
17,20210807_Tvib300K_Trot300K_3.spec,8000,300,296,300,300,cython,300,fft,0.056581497192383,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628343514.96791,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.00024390220642089844, 'reinitialize': {'copy_database': 0.0004241466522216797, 'memory_usage_warning': 0.0012049674987792969, 'reset_population': 3.147125244140625e-05, 'value': 0.0016751289367675781}, 'scaled_eq_linestrength': 0.0055162906646728516, 'calc_lineshift': 0.0007634162902832031, 'calc_hwhm': 0.01196432113647461, 'generate_wavenumber_arrays': 0.0005800724029541016, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.008219480514526367, 'DLM_Initialized_vectors': 6.4373016357421875e-06, 'DLM_closest_matching_line': 0.0008113384246826172, 'DLM_Distribute_lines': 0.0004439353942871094, 'DLM_convolve': 0.025338411331176758, 'value': 0.03497624397277832}, 'calc_other_spectral_quan': 0.0007901191711425781, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.05,5001,
18,20210807_Tvib300K_Trot300K_4.spec,10000,300,296,300,300,cython,300,fft,0.068016052246094,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628343515.09991,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0002396106719970703, 'reinitialize': {'copy_database': 0.0007793903350830078, 'memory_usage_warning': 0.00159454345703125, 'reset_population': 3.0517578125e-05, 'value': 0.0024194717407226562}, 'scaled_eq_linestrength': 0.00528407096862793, 'calc_lineshift': 0.0007529258728027344, 'calc_hwhm': 0.011118412017822266, 'generate_wavenumber_arrays': 0.0005934238433837891, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.008129358291625977, 'DLM_Initialized_vectors': 6.198883056640625e-06, 'DLM_closest_matching_line': 0.0008358955383300781, 'DLM_Distribute_lines': 0.0004904270172119141, 'DLM_convolve': 0.03665590286254883, 'value': 0.046758413314819336}, 'calc_other_spectral_quan': 0.00077056884765625, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.04,5001,
19,20210807_Tvib300K_Trot300K_5.spec,13333.3333333333,300,296,300,300,cython,300,fft,0.044355154037476,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628343515.21191,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.00024509429931640625, 'reinitialize': {'copy_database': 0.0009224414825439453, 'memory_usage_warning': 0.0013759136199951172, 'reset_population': 3.504753112792969e-05, 'value': 0.0023505687713623047}, 'scaled_eq_linestrength': 0.006369113922119141, 'calc_lineshift': 0.0007851123809814453, 'calc_hwhm': 0.012757062911987305, 'generate_wavenumber_arrays': 0.0006401538848876953, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.008514404296875, 'DLM_Initialized_vectors': 5.7220458984375e-06, 'DLM_closest_matching_line': 0.001089334487915039, 'DLM_Distribute_lines': 0.0012464523315429688, 'DLM_convolve': 0.009402990341186523, 'value': 0.020412206649780273}, 'calc_other_spectral_quan': 0.0007162094116210938, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.03,5001,
